Channel_Name,Country,Primary_Game,Secondary_Game,Subscribers,Total_Views,Video_Count,Avg_Views_Per_Video,Channel_Age_Years,Upload_Freq_Per_Week,Avg_Video_Length_Minutes,Likes_Per_Video_Avg,Comments_Per_Video_Avg,Engagement_Rate_Percent,Language,Top_Video_Views,Last_Upload_Date
MsStorm7668TV,Vietnam,Esports News,PUBG Mobile,48987,178349135,295,604573,11,4,2,36526,6313,7.09,Filipino,28487926,05-07-2025
FNGamer922Gaming,Malaysia,Hearthstone,Rainbow Six Siege,500,354988,323,1099,6,1,11,121,18,12.65,Japanese,16119,27-04-2025
RealSniper1835Highlights,China,Overwatch,Grand Theft Auto V,983,279337,305,915,4,0.5,9,66,21,9.51,Portuguese,21863,23-05-2025
MrShadow6992Clips,Mexico,Fighting Games,League of Legends,944,2482085,295,8413,9,1,18,644,88,8.7,Japanese,231311,31-07-2025
ProRogue8389Live,China,PUBG Mobile,Rainbow Six Siege,12479,9714937,327,29709,5,0.5,13,1117,232,4.54,German,696817,06-07-2025
xGamer7701Channel,Vietnam,Call of Duty,Call of Duty,1859,1379560,302,4568,4,1,22,319,96,9.08,English,220371,15-05-2025
TheStorm3323Esports,Spain,TFT,,21947,7036624,318,22127,2,3,9,2474,654,14.14,Hindi,352612,10-08-2025
FNGamer9636Esports,Turkey,Call of Duty,Mobile Legends,1014,2084241,324,6432,6,4,15,488,128,9.58,Filipino,173173,31-07-2025
MrNinja7883Live,USA,Esports News,,4658,13931520,327,42604,10,2,10,1938,949,6.78,Hindi,342310,03-05-2025
MsGamer1977Live,South Korea,PUBG Mobile,,783,133248,292,456,2,3,20,10,8,3.95,German,14698,31-07-2025
GGFury7949Live,USA,Fortnite,,92248,317632306,304,1044843,12,1,11,56035,25659,7.82,Hindi,18548196,13-07-2025
OGPlay3715TV,Japan,Hearthstone,Valorant,500,1421123,318,4468,7,2,17,345,131,10.65,Portuguese,181698,14-07-2025
ProSniper6869Network,Pakistan,Rainbow Six Siege,,4893,1270284,293,4335,3,4,6,105,80,4.27,Portuguese,35798,25-07-2025
GGPlay1738Plays,Vietnam,Call of Duty,Minecraft,8217,33307139,290,114852,9,2,10,9300,1770,9.64,Spanish,5079886,21-06-2025
ProStorm4699TV,Turkey,Call of Duty,Counter-Strike 2,5779,19721518,326,60495,11,2,11,4376,1603,9.88,Russian,1369868,06-07-2025
GGAce8996Channel,Vietnam,Roblox,,2216,5293813,308,17187,5,1,20,1690,502,12.75,Russian,370401,25-04-2025
OGGamer5766Clips,Canada,Sim Racing,TFT,2421,2259539,306,7384,8,3,2,169,60,3.1,Hindi,285347,21-05-2025
MsPlay8201Network,Indonesia,FIFA,PUBG Mobile,3197,17481665,317,55147,11,5,10,5409,1072,11.75,Hindi,910244,19-04-2025
ProAce2781Gaming,Japan,FIFA,CS:GO Classics,2356,4805148,316,15206,6,2,10,1096,377,9.69,Filipino,656254,18-04-2025
OfficialKing4804Network,Thailand,Rocket League,TFT,13935,51064371,293,174281,12,1,2,9943,3195,7.54,Indonesian,2668862,21-07-2025
RealGamer2212Channel,Mexico,Overwatch,,102419,288694407,272,1061376,10,5,9,123690,16164,13.18,Indonesian,39392221,26-06-2025
RealHunter3052Plays,Vietnam,Minecraft,Fighting Games,1221,592375,289,2049,8,1,3,73,43,5.66,Korean,9591,25-04-2025
ThePlay1992Plays,South Korea,Esports News,,500,2600606,318,8178,11,2,2,606,96,8.58,Russian,291520,15-07-2025
MrWizard624Live,Vietnam,FIFA,,2588,10552751,297,35531,12,1,10,1851,487,6.58,English,518975,24-07-2025
MrWizard6266Clips,Malaysia,Dota 2,,184893,50604429,280,180730,3,7,10,13147,5387,10.26,Indonesian,6668339,09-08-2025
GGBlade7470Live,Philippines,Teamfight Tactics,,823,146728,347,422,3,4,11,31,8,9.24,Indonesian,17592,04-07-2025
OfficialHunter7736Plays,Pakistan,Call of Duty,Fighting Games,41051,14953368,297,50348,5,3,14,1457,1350,5.58,Indonesian,512634,23-07-2025
ProHunter7250Clips,Thailand,Minecraft,Battlefield,43665,155731616,315,494386,11,3,7,42573,12455,11.13,Russian,4952426,05-07-2025
OGShadow7159Live,France,Counter-Strike 2,Valorant,1229,4010312,317,12650,10,3,23,1055,269,10.47,Filipino,477697,02-06-2025
FNQueen1940Clips,USA,League of Legends,,7408,6108272,309,19767,3,1,12,1916,514,12.29,Japanese,200748,29-07-2025
RealWizard5975Esports,USA,Battlefield,Counter-Strike 2,40353,60705316,299,203027,8,4,20,5901,2472,4.12,Japanese,596627,18-06-2025
TheShadow5274Clips,Spain,Hearthstone,,1625,4700868,316,14876,10,2,2,739,311,7.06,Filipino,73765,15-04-2025
ProQueen1892Clips,Philippines,Dota 2,Valorant,2152,7291040,319,22855,12,3,7,1942,451,10.47,Filipino,74333,14-07-2025
MrNinja2379Official,Mexico,Mobile Legends,Counter-Strike 2,1175,552127,334,1653,8,0.5,16,55,33,5.32,German,75306,13-07-2025
MrShadow73TV,France,Rocket League,Apex Legends,587,207928,325,639,2,1,11,56,5,9.55,Japanese,27813,09-06-2025
MsAce3565Network,Brazil,Roblox,,1054,935109,319,2931,12,3,6,75,34,3.72,English,84000,08-08-2025
RealBlade761Official,Canada,Fighting Games,,500,910139,304,2993,4,2,2,160,36,6.55,Russian,79589,14-07-2025
GGGamer4228Network,Russia,Hearthstone,,3148,11847511,322,36793,10,1,16,3851,737,12.47,Russian,504289,16-05-2025
TheNinja3472Highlights,USA,Valorant,TFT,869,432980,314,1378,1,1,16,134,40,12.63,Japanese,35785,06-06-2025
xWizard8818Gaming,India,League of Legends,CS:GO Classics,4333,3223354,285,11310,4,3,13,955,326,11.33,Spanish,528181,19-04-2025
RealWizard2244TV,Malaysia,Call of Duty,Overwatch,500,2671911,315,8482,12,1,9,907,90,11.75,English,249116,10-07-2025
OfficialRogue4798Esports,France,Fortnite,,5061,17891235,304,58852,11,2,5,5351,742,10.35,Hindi,278233,01-08-2025
GGShadow3611Live,Brazil,Dota 2,Dota 2,11312,11488758,324,35459,4,3,12,2550,209,7.78,English,133901,22-07-2025
ProAce4939Plays,Vietnam,Grand Theft Auto V,,500,750789,294,2553,10,2,4,301,38,13.28,Portuguese,111888,19-06-2025
xQueen6965TV,Turkey,Apex Legends,League of Legends,5423,18657767,294,63461,9,5,7,5678,1641,11.53,Russian,787846,03-08-2025
FNGamer1223Highlights,Indonesia,Apex Legends,Counter-Strike 2,21253,29129149,348,83704,3,1,20,6707,2334,10.8,Filipino,186605,12-06-2025
ProBlade3746Channel,France,Mobile Legends,,500,155888,334,466,2,7,2,28,5,7.08,Indonesian,17568,12-06-2025
ProStorm1654Live,South Korea,Minecraft,,43309,50252769,304,165305,9,4,16,18223,1924,12.19,Japanese,6831371,13-05-2025
OGShadow6178Live,USA,Mobile Legends,Roblox,5828,19055804,279,68300,9,2,21,3385,718,6.01,German,1075212,14-07-2025
MsQueen5976TV,Japan,CS:GO Classics,Sim Racing,964,472010,320,1475,1,7,17,30,20,3.39,Portuguese,61830,26-04-2025
GGHunter4765Live,Pakistan,Minecraft,,2726,6337619,313,20247,6,4,14,803,508,6.48,German,822315,14-06-2025
MrQueen4016Channel,India,PUBG Mobile,,7283,12968206,298,43517,10,7,9,1346,921,5.21,Portuguese,1103851,17-06-2025
RealKing5407TV,USA,Esports News,,3366,6435251,308,20893,8,2,8,1084,514,7.65,Indonesian,983005,07-07-2025
RealNinja9011Highlights,Canada,Counter-Strike 2,Rainbow Six Siege,7058,4720593,328,14392,3,2,2,1476,281,12.21,English,612288,13-06-2025
xShadow52Network,China,Call of Duty,Dota 2,683,3256455,315,10337,11,3,12,880,118,9.65,Korean,35332,04-06-2025
OGAce1942TV,South Korea,Battlefield,CS:GO Classics,3908,13967393,332,42070,9,1,10,1552,450,4.76,Portuguese,1901108,28-04-2025
OfficialSniper6892Plays,USA,Esports News,Hearthstone,500,315038,298,1057,2,7,8,104,5,10.31,Hindi,29571,26-06-2025
OfficialGamer2548TV,Canada,Counter-Strike 2,Overwatch,2494,2599719,297,8753,6,3,12,616,214,9.48,Korean,214420,12-04-2025
MsRogue9589Live,Russia,Esports News,League of Legends,701,330938,338,979,1,3,12,69,25,9.6,English,46943,21-07-2025
MrPlay2004Gaming,Thailand,Fighting Games,,918,2210491,280,7894,7,7,8,443,191,8.03,English,123701,06-06-2025
OGSniper4044Gaming,Indonesia,Rainbow Six Siege,Counter-Strike 2,21541,31452950,290,108458,3,10,22,11546,744,11.33,Russian,2501717,01-08-2025
GGBlade5259Esports,UK,Grand Theft Auto V,,17087,37204698,322,115542,7,1,16,5988,2779,7.59,Korean,1249504,07-05-2025
xStorm8946TV,Philippines,Rocket League,,7900,13257361,345,38427,4,4,17,1130,236,3.55,Portuguese,1685098,10-07-2025
xSniper8073Highlights,Indonesia,FIFA,Fighting Games,519,1942656,300,6475,9,3,11,325,49,5.78,Indonesian,33985,20-02-2025
OGGamer1614Esports,India,Apex Legends,Overwatch,1796,1812145,303,5980,5,2,15,547,95,10.74,Hindi,16427,23-02-2025
TheFury9704Channel,UK,Valorant,Fighting Games,20763,30135999,314,95974,3,10,7,8230,1622,10.27,Indonesian,891160,07-08-2025
OGGamer9221Clips,Brazil,Fortnite,,3739,1790940,309,5795,8,7,16,224,147,6.4,Russian,187763,05-07-2025
MsRogue1614Live,USA,Dota 2,,121896,289566319,276,1049153,6,4,11,32710,23068,5.32,German,8013947,05-05-2025
OGBlade4254Esports,Turkey,Battlefield,Call of Duty,5593,5419624,321,16883,2,2,6,1453,149,9.49,Indonesian,779848,22-07-2025
TheHunter748Highlights,Malaysia,Apex Legends,,4053,2462303,322,7646,3,3,12,670,81,9.82,English,264293,18-06-2025
FNSniper2635Highlights,Russia,Hearthstone,Battlefield,1817,4966220,306,16229,8,3,10,918,197,6.87,Japanese,564420,02-04-2025
RealQueen6281Esports,India,Hearthstone,Roblox,3691,11183747,305,36668,10,1,26,3823,296,11.23,Filipino,1785199,01-07-2025
ProStorm4844Live,UK,Esports News,Fighting Games,2335,6418326,302,21252,7,2,15,2503,259,13,Hindi,101082,24-06-2025
OfficialHunter6059Highlights,Canada,Rainbow Six Siege,,9255,40701644,291,139868,10,1,21,5673,3247,6.38,Filipino,4662968,01-08-2025
OfficialHunter7579Channel,Mexico,Esports News,Rainbow Six Siege,13776,26563163,320,83009,6,2,19,6450,916,8.87,Russian,3748488,14-07-2025
MsStorm601Esports,Japan,FIFA,Counter-Strike 2,847,353332,305,1158,1,4,12,23,29,4.49,Portuguese,36599,31-05-2025
OGShadow7235Official,Mexico,Esports News,Apex Legends,500,857378,299,2867,9,0.5,9,261,47,10.74,Indonesian,69065,04-05-2025
xAce7548Highlights,Turkey,Counter-Strike 2,League of Legends,500,229296,299,766,3,4,2,47,10,7.44,Korean,2378,13-07-2025
RealAce8193TV,UK,Battlefield,,6719,8190476,322,25436,5,0.5,7,1000,389,5.46,German,259909,02-05-2025
MsShadow5926Channel,Indonesia,Fortnite,Overwatch,510,1267283,312,4061,7,2,16,386,92,11.77,Hindi,187617,12-03-2025
MrGamer4319Official,UK,PUBG Mobile,Rocket League,500,469913,298,1576,7,3,10,159,28,11.87,English,77181,09-07-2025
MsRogue3767Plays,Spain,CS:GO Classics,,5550,5930038,319,18589,3,4,14,578,96,3.63,Indonesian,476433,30-07-2025
MsKing1003Gaming,Pakistan,Mobile Legends,,160941,146354686,307,476725,4,4,2,11488,13375,5.22,Spanish,21513756,15-04-2025
RealShadow7974Highlights,South Korea,TFT,Minecraft,2952,12044421,329,36609,10,2,15,1955,243,6,Russian,913805,09-08-2025
OGNinja3740TV,Thailand,Rainbow Six Siege,FIFA,11402,5313706,301,17653,7,1,19,1458,502,11.1,German,170182,03-05-2025
GGAce3043Official,Indonesia,Fighting Games,Roblox,3397,9527693,278,34272,8,4,2,3404,195,10.5,Spanish,209111,11-07-2025
MsNinja1195Channel,Japan,CS:GO Classics,,2544,1742233,314,5548,2,2,14,413,134,9.86,Korean,232880,24-06-2025
OfficialRogue5314Clips,USA,Dota 2,,12971,55266689,302,183002,9,2,20,14287,3361,9.64,Indonesian,8604835,25-07-2025
MsKing2967Clips,Canada,TFT,Counter-Strike 2,1873,4864382,299,16268,7,1,22,1626,287,11.76,Indonesian,352494,07-08-2025
MrAce2655Plays,Germany,FIFA,,4572,14935292,323,46239,8,1,9,3370,315,7.97,Filipino,374092,10-03-2025
FNStorm5445Network,Germany,Minecraft,Counter-Strike 2,4987,13676327,322,42473,6,1,17,3445,465,9.21,Japanese,1811453,12-06-2025
OfficialGamer6463Channel,Brazil,Fighting Games,,1023,2171460,305,7119,6,2,21,509,173,9.58,Spanish,131460,29-07-2025
GGHunter2417Channel,India,FIFA,Roblox,14577,23689406,311,76171,9,2,14,8229,2078,13.53,Russian,1933785,28-07-2025
MsStorm9094Highlights,Turkey,CS:GO Classics,Battlefield,2253,3977880,317,12548,4,3,20,546,228,6.17,Filipino,623305,07-06-2025
GGPlay4920Gaming,Indonesia,Fortnite,,889,3778704,319,11845,11,2,12,549,163,6.01,Japanese,409183,27-06-2025
ProSniper6826Official,Pakistan,League of Legends,League of Legends,7033,18644244,314,59376,11,7,14,1947,385,3.93,Spanish,2175633,07-06-2025
MrNinja2230Esports,Thailand,Minecraft,,708,1308872,311,4208,5,2,8,428,92,12.36,Russian,65236,10-05-2025
ProSniper6181Clips,India,Valorant,,3118,12360188,322,38385,9,2,11,2348,459,7.31,Russian,550281,23-06-2025
RealStorm7836Live,Canada,PUBG Mobile,,2937,1436320,289,4969,1,0.5,15,272,31,6.1,English,79997,01-08-2025
xPlay3384Esports,Spain,Rocket League,,16939,32425187,344,94259,4,3,8,11135,2040,13.98,English,2894397,24-06-2025
OGFury8987Gaming,France,Rainbow Six Siege,League of Legends,6371,8758740,309,28345,7,3,11,3193,485,12.98,Korean,1332153,28-05-2025
MrSniper6842Live,Turkey,Call of Duty,,2863,7550830,324,23305,11,3,17,2731,123,12.25,Portuguese,813239,14-04-2025
TheBlade9892Official,Russia,Hearthstone,TFT,11030,9856664,288,34224,9,7,24,1171,266,4.2,Korean,540491,21-05-2025
TheFury8668Official,Canada,Overwatch,Hearthstone,27565,48937363,292,167593,11,4,2,18288,3767,13.16,English,5498548,23-07-2025
MrQueen8257Esports,Pakistan,PUBG Mobile,League of Legends,7277,39041647,308,126758,12,7,24,6701,835,5.95,English,1098881,19-04-2025
MsWizard854Esports,France,Sim Racing,,3030,6435188,290,22190,10,1,10,471,591,4.79,Korean,499128,24-06-2025
MrKing495Official,Japan,CS:GO Classics,TFT,500,987746,318,3106,6,2,18,183,39,7.15,Spanish,138699,05-08-2025
OfficialRogue8575Clips,Malaysia,FIFA,,542,2274348,287,7924,12,2,19,561,57,7.8,Hindi,110528,12-06-2025
MrWizard3830Channel,India,Teamfight Tactics,Rocket League,1829,5879476,278,21149,8,3,21,651,507,5.48,Indonesian,608866,27-06-2025
TheAce5483Plays,Indonesia,Call of Duty,Minecraft,1124,1337942,321,4168,9,2,8,307,75,9.17,Indonesian,23736,01-06-2025
OGGamer3856Live,Canada,FIFA,,2210,4136366,313,13215,10,5,11,1347,167,11.46,Spanish,81977,24-07-2025
OfficialAce5683Official,Russia,Dota 2,Apex Legends,3263,3285858,337,9750,4,2,12,563,147,7.28,Russian,51758,19-06-2025
ProKing8599Esports,USA,CS:GO Classics,,6957,1490039,320,4656,1,1,10,257,25,6.06,Hindi,56219,28-06-2025
FNGamer2373TV,Indonesia,Teamfight Tactics,Rocket League,2662,10484177,327,32061,8,1,20,1727,691,7.54,Spanish,765383,06-08-2025
MsFury9466Highlights,South Korea,Rainbow Six Siege,,6492,5527592,313,17660,2,1,12,1983,249,12.64,Hindi,810827,04-08-2025
MrQueen1374Official,Russia,Esports News,,3304,9662380,295,32753,11,1,2,814,748,4.77,German,613072,12-07-2025
OGWizard7363Official,Vietnam,Hearthstone,Battlefield,500,222835,316,705,1,1,8,45,14,8.37,Spanish,22782,24-03-2025
MrNinja145Highlights,France,League of Legends,Minecraft,663,958105,297,3225,7,0.5,3,149,68,6.73,Filipino,92513,17-06-2025
OGFury5271Live,Canada,Esports News,FIFA,2367,11464500,296,38731,12,4,11,4236,961,13.42,Indonesian,347634,20-05-2025
MrSniper947Highlights,USA,Fortnite,Mobile Legends,500,753270,340,2215,10,2,16,65,46,5.01,German,54930,31-05-2025
MsRogue9755Official,Indonesia,Hearthstone,,7784,27850406,318,87579,9,0.5,8,5354,1354,7.66,German,763512,17-03-2025
MsSniper5555Official,Spain,Minecraft,Counter-Strike 2,34516,96970781,309,313821,11,2,10,19043,4628,7.54,Filipino,5284366,06-08-2025
OGNinja2602Esports,France,Teamfight Tactics,,20952,24733759,335,73832,12,7,10,8035,589,11.68,Hindi,504821,05-03-2025
MrPlay1262Highlights,Spain,Mobile Legends,Mobile Legends,2118,4396157,282,15589,12,2,13,647,381,6.59,English,193218,22-07-2025
FNQueen453Gaming,USA,Call of Duty,Overwatch,32375,67314495,292,230529,9,10,15,19477,5539,10.85,Indonesian,4576143,30-04-2025
RealPlay8634TV,South Korea,Fighting Games,League of Legends,3781,4391803,291,15092,3,3,17,504,168,4.45,Portuguese,482596,23-07-2025
OfficialStorm2965Highlights,Thailand,Hearthstone,FIFA,1738,863878,318,2716,6,7,26,313,72,14.18,Portuguese,23394,22-06-2025
MsFury6594Official,Philippines,League of Legends,Fortnite,1117,2711599,304,8919,7,1,13,707,175,9.89,German,272463,02-07-2025
TheSniper3380Official,India,Dota 2,Rainbow Six Siege,1837,6837426,294,23256,10,1,16,1921,394,9.95,Indonesian,317283,05-08-2025
TheAce2885Live,India,Teamfight Tactics,,1601,4960508,289,17164,9,4,2,1087,93,6.87,Portuguese,88899,07-07-2025
TheKing2413Network,Vietnam,CS:GO Classics,,3915,3071719,306,10038,2,10,10,544,146,6.87,Filipino,462309,05-07-2025
MsShadow1744Plays,Indonesia,CS:GO Classics,Rainbow Six Siege,3854,4013582,324,12387,8,5,10,511,260,6.22,Korean,54845,27-07-2025
xPlay7616Highlights,Pakistan,League of Legends,Sim Racing,2995,6587129,316,20845,7,3,6,1675,150,8.76,Filipino,884211,25-07-2025
OGKing8030Gaming,Canada,Fighting Games,,5997,11358683,300,37862,4,1,9,4371,624,13.19,German,1382979,19-04-2025
MrWizard1978Clips,China,Esports News,,20030,13013608,321,40540,2,2,11,2269,1209,8.58,Japanese,646823,03-08-2025
MsShadow6930Clips,Brazil,League of Legends,Mobile Legends,13619,35420442,292,121302,8,1,9,13138,2779,13.12,Spanish,4422249,29-06-2025
TheAce4826Clips,Germany,Overwatch,,500,2097688,308,6810,11,2,28,237,127,5.35,Filipino,99523,13-04-2025
TheWizard8900Esports,Thailand,Overwatch,Fighting Games,500,499854,292,1711,5,1,15,194,31,13.15,Portuguese,68627,30-07-2025
OGShadow4735Highlights,France,Apex Legends,PUBG Mobile,13291,29124368,324,89890,6,2,24,4948,547,6.11,German,613494,07-06-2025
OfficialPlay9052Clips,Mexico,League of Legends,Dota 2,500,2542678,319,7970,11,5,21,462,230,8.68,Korean,28260,04-08-2025
MrWizard9068Esports,Indonesia,Battlefield,,2080,799387,288,2775,7,1,8,183,78,9.41,Filipino,23964,22-07-2025
RealAce6141Plays,Spain,Esports News,Fighting Games,500,2207754,312,7076,10,2,12,649,156,11.38,Filipino,258335,02-07-2025
TheShadow6961Highlights,Japan,Apex Legends,Fortnite,500,74189,308,240,1,1,9,22,1,9.58,Portuguese,11626,21-04-2025
FNAce3397Live,Canada,Hearthstone,,7089,14470944,299,48397,8,1,11,3289,493,7.81,English,1613556,13-03-2025
FNPlay2936TV,Brazil,Mobile Legends,,10043,17416832,306,56917,4,2,6,4115,546,8.19,Hindi,2509264,03-08-2025
TheAce2953Highlights,Philippines,Hearthstone,Dota 2,1185,4487410,328,13681,9,1,9,314,246,4.09,German,44915,10-05-2025
MrWizard9005Live,Spain,Battlefield,,500,225683,319,707,1,7,14,35,7,5.94,German,15346,25-07-2025
ProShadow4361Esports,Japan,Grand Theft Auto V,,1243,6469893,313,20670,11,2,14,1128,462,7.69,Portuguese,612476,13-07-2025
TheKing6513TV,Japan,PUBG Mobile,Overwatch,5579,2803119,320,8759,2,1,14,664,163,9.44,English,187905,28-07-2025
OfficialSniper1269Channel,Thailand,Esports News,Mobile Legends,500,1036091,328,3158,6,2,12,239,17,8.11,Japanese,114619,24-06-2025
ProHunter8952Channel,Vietnam,Sim Racing,Sim Racing,3997,9924024,296,33527,11,1,17,3050,791,11.46,Russian,423647,05-04-2025
ProPlay1171Official,USA,FIFA,,2908,6043478,309,19558,10,1,10,1793,190,10.14,Korean,285651,22-07-2025
MsSniper317Esports,Brazil,Counter-Strike 2,,7531,20231257,299,67663,11,1,20,2944,1733,6.91,Korean,1782422,20-06-2025
RealGamer1318Gaming,South Korea,Valorant,Grand Theft Auto V,3609,1387242,299,4639,1,1,2,450,64,11.08,Portuguese,157219,02-05-2025
MrFury7302TV,Malaysia,Roblox,Roblox,628,692428,306,2262,4,4,16,49,30,3.49,Russian,18687,25-06-2025
ProBlade177Esports,Japan,Rainbow Six Siege,,20221,67348362,289,233039,8,5,15,21350,1234,9.69,Russian,3824674,24-05-2025
ProNinja9557Esports,Turkey,Fortnite,,2313,8913106,289,30841,10,2,8,931,915,5.99,Indonesian,477533,03-07-2025
RealFury3027Clips,Malaysia,Teamfight Tactics,TFT,2853,844706,343,2462,5,4,10,228,49,11.25,Korean,62153,14-06-2025
MrPlay7518Esports,Spain,League of Legends,Hearthstone,669,2008648,324,6199,9,2,15,450,96,8.81,English,299321,16-07-2025
TheNinja4582Clips,China,Fortnite,,1466,3974365,304,13073,11,1,17,833,96,7.11,Filipino,271519,16-07-2025
MrWizard3668Network,Russia,Roblox,Sim Racing,723,2031856,302,6728,11,2,2,599,151,11.15,German,290793,31-07-2025
xPlay7219Clips,USA,FIFA,,2260,5671712,304,18656,6,3,16,440,225,3.56,English,396112,22-07-2025
TheWizard4566Highlights,Russia,Grand Theft Auto V,Rainbow Six Siege,46107,13667202,300,45557,1,0.5,9,1929,1353,7.2,German,798706,23-04-2025
MsHunter3960Highlights,Indonesia,Esports News,,500,1345589,340,3957,6,3,19,323,113,11.02,Filipino,25316,27-07-2025
GGAce8847Gaming,USA,Apex Legends,Call of Duty,500,1112287,293,3796,6,4,2,397,88,12.78,Filipino,136973,13-07-2025
RealWizard533Gaming,China,Counter-Strike 2,,31378,56250337,331,169940,6,7,27,9875,4975,8.74,Korean,2694285,22-07-2025
MrGamer5327TV,Brazil,Counter-Strike 2,Apex Legends,2132,6644029,308,21571,8,1,7,989,164,5.35,Korean,768891,25-06-2025
OfficialAce2561Gaming,Spain,Minecraft,,1021,412016,307,1342,6,0.5,21,96,16,8.35,German,26228,05-08-2025
OGWizard9012Official,Germany,Rainbow Six Siege,Minecraft,15738,4893545,281,17414,5,1,12,1431,197,9.35,Portuguese,47995,05-07-2025
OGShadow9890Official,France,Battlefield,Fortnite,1131,1088677,295,3690,11,7,7,228,25,6.86,Korean,35368,27-04-2025
RealQueen9908Network,Japan,Apex Legends,Hearthstone,55360,27337254,333,82093,2,4,14,8839,2405,13.7,German,3227828,04-07-2025
RealStorm7570Highlights,France,FIFA,,8819,5501382,301,18277,4,5,18,1322,118,7.88,Hindi,226698,05-07-2025
TheGamer8082Plays,France,Rainbow Six Siege,,1365,6728325,327,20575,10,2,3,485,543,5,Hindi,268450,23-05-2025
TheRogue1426Plays,Canada,Esports News,,94060,138282573,308,448969,5,3,16,18993,10866,6.65,English,8081856,10-07-2025
TheWizard1932Channel,Malaysia,PUBG Mobile,Sim Racing,1130,3933384,311,12647,10,1,12,822,182,7.94,Hindi,137382,15-07-2025
MrFury5703Plays,Malaysia,Battlefield,League of Legends,9772,6858734,311,22053,4,5,15,1979,120,9.52,Hindi,614166,09-08-2025
ProNinja9228TV,USA,Teamfight Tactics,Sim Racing,4812,1874838,302,6208,2,5,12,260,31,4.69,Russian,165609,29-03-2025
MrAce2056Live,Russia,Dota 2,Fighting Games,23927,33658231,314,107191,7,2,9,12608,1082,12.77,Portuguese,3464331,04-08-2025
MrQueen6878Highlights,Vietnam,Apex Legends,,36258,132135416,321,411636,10,2,5,21345,7140,6.92,English,19927488,02-07-2025
MsHunter5426Network,France,Fighting Games,Teamfight Tactics,3137,8255573,303,27246,10,4,16,1995,448,8.97,Hindi,210780,15-07-2025
TheSniper2724Channel,USA,Apex Legends,Rainbow Six Siege,892,504796,354,1425,2,0.5,16,31,27,4.07,German,29147,08-06-2025
GGKing4977Esports,Russia,CS:GO Classics,,6222,1968649,316,6229,1,7,16,675,151,13.26,Japanese,161805,29-06-2025
OGFury9636Plays,Indonesia,Esports News,,1007,1993685,312,6390,5,2,15,631,92,11.31,German,290029,21-07-2025
MsNinja9608Official,India,Esports News,,74713,81287493,324,250887,12,2,18,9921,2260,4.86,Hindi,8119350,21-05-2025
OGAce7417Channel,Malaysia,Rainbow Six Siege,,3708,1481691,313,4733,1,3,20,536,118,13.82,Spanish,105313,22-07-2025
ProRogue8948TV,India,Rocket League,Call of Duty,1661,504040,286,1762,1,3,2,90,23,6.41,Russian,7883,05-08-2025
MrNinja46Highlights,Pakistan,Rainbow Six Siege,,4005,1406127,302,4656,1,1,2,415,56,10.12,Russian,178671,01-07-2025
MrQueen8113Live,South Korea,Roblox,Counter-Strike 2,500,592194,318,1862,6,7,22,189,44,12.51,Korean,53570,11-07-2025
OGGamer6764TV,UK,Apex Legends,Battlefield,629,1325942,304,4361,9,10,4,410,123,12.22,English,150287,15-07-2025
ProStorm731Live,Germany,Apex Legends,Grand Theft Auto V,20346,31337848,310,101089,10,3,5,11297,2817,13.96,German,1742285,22-07-2025
GGAce1693Clips,Russia,Battlefield,Fortnite,1042,5624231,334,16839,11,3,10,1792,142,11.49,Indonesian,241422,03-06-2025
FNPlay2815Gaming,Philippines,Valorant,TFT,558,1832369,334,5486,12,3,2,655,96,13.69,Indonesian,177908,23-06-2025
FNAce2719Network,Canada,Overwatch,Call of Duty,7034,3504582,332,10555,1,2,10,403,77,4.55,Hindi,235654,02-07-2025
TheGamer1274Clips,Russia,Rainbow Six Siege,,19873,26868662,314,85568,5,7,6,4319,2483,7.95,Korean,1612449,05-08-2025
OGGamer4904Channel,Spain,Valorant,,9417,12618710,313,40315,9,1,11,3371,418,9.4,English,490632,16-05-2025
RealWizard534Gaming,UK,FIFA,,14671,36753528,330,111374,9,1,14,10391,1106,10.32,English,2396958,02-07-2025
OfficialNinja8884Network,Russia,Sim Racing,,888,60222,304,198,1,7,10,14,5,9.6,German,9272,15-07-2025
FNAce9582TV,Turkey,Fighting Games,,500,1828585,273,6698,8,1,10,183,195,5.64,English,48573,28-05-2025
RealStorm2571Esports,Philippines,Roblox,Grand Theft Auto V,32929,13775768,333,41368,1,4,14,4308,928,12.66,German,405440,25-05-2025
OGFury4052Gaming,Mexico,Fighting Games,Overwatch,1778,5357031,306,17506,8,1,18,2032,140,12.41,Korean,543747,02-03-2025
RealStorm108Network,Japan,Fighting Games,Valorant,1995,647221,306,2115,1,7,22,128,36,7.75,Spanish,28652,29-07-2025
TheFury5858Network,Pakistan,Minecraft,,24962,93135839,307,303374,12,5,11,12887,7710,6.79,Spanish,13298479,29-07-2025
xAce2523Official,Germany,Fortnite,,7258,18091570,317,57071,5,7,23,1251,1102,4.12,Russian,2444106,28-07-2025
OGKing5430Highlights,Malaysia,Rainbow Six Siege,Apex Legends,6182,8659688,308,28115,8,7,17,1229,233,5.2,Spanish,622845,05-08-2025
OGPlay973Clips,Mexico,Sim Racing,Fighting Games,95225,229030197,312,734071,6,1,5,66060,6824,9.93,Japanese,25439938,13-07-2025
