Tournament Name,Game,Genre,Organizer,Frequency,Prize Pool (USD)_Adjusted,Year,Country,Prize Pool (USD)
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,5189031,2023,Japan,5189031
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4457115,2024,Japan,4457115
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4094902,2025,Japan,4094902
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,5763688,2023,Japan,5763688
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,6831597,2024,Japan,6831597
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,8386144,2025,Japan,8386144
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4223300,2023,Japan,4223300
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4314602,2024,Japan,4314602
PUBG Mobile Championship 221,PUBG Mobile,Battle Royale,Riot Games,Quarterly,4824066,2025,Japan,4824066
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1334144,2023,United States,1334144
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1608457,2024,United States,1608457
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1873841,2025,United States,1873841
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,976400,2023,United States,976400
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,825663,2024,United States,825663
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,774168,2025,United States,774168
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1321611,2023,United States,1321611
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1509152,2024,United States,1509152
Fortnite Championship 222,Fortnite,Battle Royale,Tencent,Bi-Annual,1774462,2025,United States,1774462
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3846215,2023,Canada,3846215
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3508757,2024,China,3508757
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,2968946,2025,Brazil,2968946
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3790303,2023,Sweden,3790303
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3258182,2024,China,3258182
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,2690854,2025,France,2690854
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3672904,2023,Japan,3672904
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3453004,2024,Sweden,3453004
Counter-Strike 2 Championship 223,Counter-Strike 2,FPS,Krafton,Quarterly,3419169,2025,Sweden,3419169
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3278010,2023,France,3278010
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3199838,2024,France,3199838
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3781724,2025,France,3781724
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3411438,2023,France,3411438
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3082314,2024,France,3082314
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,2681931,2025,France,2681931
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,3211905,2023,France,3211905
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,2590263,2024,France,2590263
Street Fighter Championship 224,Street Fighter,Fighting,Epic Games,Annual,2433030,2025,France,2433030
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2028737,2023,South Korea,2028737
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,1758664,2024,South Korea,1758664
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,1627379,2025,South Korea,1627379
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2218413,2023,South Korea,2218413
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2137883,2024,South Korea,2137883
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2113077,2025,South Korea,2113077
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2559580,2023,South Korea,2559580
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2252924,2024,South Korea,2252924
Dota 2 Championship 225,Dota 2,MOBA,Psyonix,Quarterly,2484586,2025,South Korea,2484586
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2385584,2023,United States,2385584
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2517949,2024,China,2517949
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2339249,2025,France,2339249
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2588217,2023,United States,2588217
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2836394,2024,France,2836394
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2914085,2025,Japan,2914085
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2438868,2023,Brazil,2438868
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2529365,2024,China,2529365
Street Fighter Championship 226,Street Fighter,Fighting,Tencent,Bi-Annual,2558194,2025,Germany,2558194
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2023,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2024,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2500000,2025,United States,2500000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2023,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2024,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2500000,2025,United States,2500000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2023,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2250000,2024,United States,2250000
Valorant Championship 227,Valorant,FPS,Epic Games,Quarterly,2500000,2025,United States,2500000
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,3804241,2023,Canada,3804241
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,3495859,2024,Japan,3495859
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,3892406,2025,Sweden,3892406
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,4381271,2023,Sweden,4381271
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,4919423,2024,Sweden,4919423
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,5303582,2025,Canada,5303582
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,3912285,2023,China,3912285
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,4435799,2024,United States,4435799
Rocket League Championship 228,Rocket League,Sports,Riot Games,Bi-Annual,5137705,2025,Sweden,5137705
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,5497941,2023,United States,5497941
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,6229915,2024,Sweden,6229915
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,5257508,2025,Brazil,5257508
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,4386497,2023,China,4386497
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,3940327,2024,Japan,3940327
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,3396456,2025,Canada,3396456
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,4302920,2023,Germany,4302920
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,3489980,2024,Japan,3489980
League of Legends Championship 229,League of Legends,MOBA,Riot Games,Quarterly,2962243,2025,Sweden,2962243
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2023,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2024,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2500000,2025,Brazil,2500000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2023,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2024,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2500000,2025,Brazil,2500000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2023,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2250000,2024,Brazil,2250000
Valorant Championship 230,Valorant,FPS,EA Sports,Bi-Annual,2500000,2025,Brazil,2500000
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,422387,2023,Canada,422387
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,442744,2024,Canada,442744
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,480152,2025,Canada,480152
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,404250,2023,Canada,404250
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,354489,2024,Canada,354489
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,283907,2025,Canada,283907
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,432257,2023,Canada,432257
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,371955,2024,Canada,371955
Fortnite Championship 231,Fortnite,Battle Royale,Epic Games,Quarterly,343082,2025,Canada,343082
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,955550,2023,India,955550
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,1228235,2024,India,1228235
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,1523083,2025,India,1523083
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,821661,2023,India,821661
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,688913,2024,India,688913
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,585761,2025,India,585761
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,867019,2023,India,867019
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,975277,2024,India,975277
PUBG Mobile Championship 232,PUBG Mobile,Battle Royale,Activision,Quarterly,1061490,2025,India,1061490
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,420266,2023,Saudi Arabia,420266
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,432750,2024,Saudi Arabia,432750
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,410294,2025,Saudi Arabia,410294
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,343080,2023,Saudi Arabia,343080
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,294306,2024,Saudi Arabia,294306
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,251432,2025,Saudi Arabia,251432
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,370165,2023,Saudi Arabia,370165
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,338561,2024,Saudi Arabia,338561
Counter-Strike 2 Championship 233,Counter-Strike 2,FPS,Capcom,Bi-Annual,317794,2025,Saudi Arabia,317794
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,750394,2023,South Korea,750394
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,942130,2024,South Korea,942130
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,1026361,2025,South Korea,1026361
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,678031,2023,South Korea,678031
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,544206,2024,South Korea,544206
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,466932,2025,South Korea,466932
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,697104,2023,South Korea,697104
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,752424,2024,South Korea,752424
League of Legends Championship 234,League of Legends,MOBA,Epic Games,Annual,695962,2025,South Korea,695962
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3739817,2023,Japan,3739817
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3368348,2024,Japan,3368348
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3289634,2025,Japan,3289634
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3537148,2023,Japan,3537148
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3120933,2024,Japan,3120933
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,2940312,2025,Japan,2940312
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,3229691,2023,Japan,3229691
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,2571009,2024,Japan,2571009
Street Fighter Championship 235,Street Fighter,Fighting,Activision,Annual,2321782,2025,Japan,2321782
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,3644329,2023,Canada,3644329
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,4172479,2024,Canada,4172479
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,4618945,2025,Canada,4618945
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,3273055,2023,Canada,3273055
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,2626642,2024,Canada,2626642
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,2169197,2025,Canada,2169197
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,3082511,2023,Canada,3082511
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,2802850,2024,Canada,2802850
Street Fighter Championship 236,Street Fighter,Fighting,Tencent,Bi-Annual,2365723,2025,Canada,2365723
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,846349,2023,Brazil,846349
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,798375,2024,Brazil,798375
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,833939,2025,Brazil,833939
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,865301,2023,Brazil,865301
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,964489,2024,Brazil,964489
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,976882,2025,Brazil,976882
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,642873,2023,Brazil,642873
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,531589,2024,Brazil,531589
Fortnite Championship 237,Fortnite,Battle Royale,Tencent,Quarterly,493639,2025,Brazil,493639
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,368695,2023,Germany,368695
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,433536,2024,Germany,433536
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,514802,2025,Germany,514802
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,280670,2023,Germany,280670
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,275019,2024,Germany,275019
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,227389,2025,Germany,227389
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,353544,2023,Germany,353544
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,397476,2024,Germany,397476
Street Fighter Championship 238,Street Fighter,Fighting,Psyonix,Quarterly,449199,2025,Germany,449199
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,669150,2023,Brazil,669150
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,628599,2024,Brazil,628599
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,552173,2025,Brazil,552173
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,703008,2023,Brazil,703008
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,847149,2024,Brazil,847149
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,978303,2025,Brazil,978303
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,613656,2023,Brazil,613656
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,703643,2024,Brazil,703643
Tekken 8 Championship 239,Tekken 8,Fighting,Psyonix,Bi-Annual,794465,2025,Brazil,794465
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2023,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2024,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2500000,2025,Germany,2500000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2023,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2024,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2500000,2025,Germany,2500000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2023,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2250000,2024,Germany,2250000
Valorant Championship 240,Valorant,FPS,Riot Games,Quarterly,2500000,2025,Germany,2500000
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,986632,2023,China,986632
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,1112693,2024,China,1112693
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,1354154,2025,China,1354154
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,757687,2023,China,757687
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,826960,2024,China,826960
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,946672,2025,China,946672
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,969326,2023,China,969326
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,1106018,2024,China,1106018
League of Legends Championship 241,League of Legends,MOBA,Tencent,Quarterly,1053707,2025,China,1053707
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,3187340,2023,Canada,3187340
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,3653046,2024,Canada,3653046
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,4317396,2025,Canada,4317396
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,3552160,2023,Canada,3552160
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,4001203,2024,Canada,4001203
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,4102782,2025,Canada,4102782
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,3597213,2023,Canada,3597213
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,4487091,2024,Canada,4487091
Street Fighter Championship 242,Street Fighter,Fighting,Activision,Bi-Annual,5421023,2025,Canada,5421023
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,3896249,2023,Germany,3896249
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,4388669,2024,Brazil,4388669
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,4963073,2025,Germany,4963073
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,3834173,2023,China,3834173
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,3958848,2024,France,3958848
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,4143726,2025,Germany,4143726
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,3891364,2023,Brazil,3891364
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,4356009,2024,China,4356009
PUBG Mobile Championship 243,PUBG Mobile,Battle Royale,Krafton,Quarterly,4701776,2025,United States,4701776
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1075237,2023,France,1075237
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1266266,2024,France,1266266
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1584801,2025,France,1584801
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,877618,2023,France,877618
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,822810,2024,France,822810
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,707167,2025,France,707167
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1225816,2023,France,1225816
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1406121,2024,France,1406121
PUBG Mobile Championship 244,PUBG Mobile,Battle Royale,Capcom,Quarterly,1639625,2025,France,1639625
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2307136,2023,Canada,2307136
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2122860,2024,Canada,2122860
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2554703,2025,Canada,2554703
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2444518,2023,Canada,2444518
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2748671,2024,Canada,2748671
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,3146848,2025,Canada,3146848
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2377102,2023,Canada,2377102
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2709904,2024,Canada,2709904
Dota 2 Championship 245,Dota 2,MOBA,Tencent,Annual,2826400,2025,Canada,2826400
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,2240331,2023,United States,2240331
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,2201668,2024,United States,2201668
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,2571695,2025,Germany,2571695
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,1914170,2023,China,1914170
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,1500011,2024,France,1500011
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,1268785,2025,Japan,1268785
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,2425882,2023,Canada,2425882
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,2877225,2024,Sweden,2877225
Street Fighter Championship 246,Street Fighter,Fighting,Capcom,Bi-Annual,3047966,2025,France,3047966
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,2819037,2023,India,2819037
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,3419743,2024,India,3419743
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,3834049,2025,India,3834049
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,2729914,2023,India,2729914
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,2726781,2024,India,2726781
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,3306036,2025,India,3306036
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,2246201,2023,India,2246201
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,1884340,2024,India,1884340
Fortnite Championship 247,Fortnite,Battle Royale,Tencent,Bi-Annual,1481469,2025,India,1481469
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,219895,2023,United States,219895
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,201703,2024,United States,201703
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,187411,2025,United States,187411
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,205643,2023,United States,205643
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,179299,2024,United States,179299
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,170625,2025,United States,170625
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,223791,2023,United States,223791
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,210861,2024,United States,210861
League of Legends Championship 248,League of Legends,MOBA,Epic Games,Bi-Annual,175316,2025,United States,175316
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1201583,2023,Saudi Arabia,1201583
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1331025,2024,Saudi Arabia,1331025
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1266395,2025,Saudi Arabia,1266395
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1311476,2023,Saudi Arabia,1311476
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1359916,2024,Saudi Arabia,1359916
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,1618613,2025,Saudi Arabia,1618613
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,976931,2023,Saudi Arabia,976931
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,825594,2024,Saudi Arabia,825594
Counter-Strike 2 Championship 249,Counter-Strike 2,FPS,Activision,Annual,779267,2025,Saudi Arabia,779267
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,4774650,2023,Saudi Arabia,4774650
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,6046367,2024,Saudi Arabia,6046367
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,7084424,2025,Saudi Arabia,7084424
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,3474506,2023,Saudi Arabia,3474506
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,3283889,2024,Saudi Arabia,3283889
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,3160883,2025,Saudi Arabia,3160883
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,3352659,2023,Saudi Arabia,3352659
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,3130577,2024,Saudi Arabia,3130577
Tekken 8 Championship 250,Tekken 8,Fighting,Capcom,Annual,2470641,2025,Saudi Arabia,2470641
League of Legends Championship 251,League of Legends,MOBA,Epic Games,Annual,4377901,2023,Brazil,4377901
League of Legends Championship 251,League of Legends,MOBA,Epic Games,Annual,4705977,2024,Brazil,4705977
League of Legends Championship 251,League of Legends,MOBA,Epic Games,Annual,4461717,2025,Brazil,4461717
League of Legends Championship 251,League of Legends,MOBA,Epic Games,Annual,4399970,2023,Brazil,4399970
League of Legends Championship 251,League of Legends,MOBA,Epic Games,Annual,5134084,2024,Brazil,5134084
